1162,LC,UNDERGRADUATE,English for specific purposes II  LAW  PA  COMM ,EN,b.bytyqi
1162,N-TT,UNDERGRADUATE,English Language writing and research,EN,b.bytyqi
1162,N-BA,UNDERGRADUATE,Microeconomics,AL,b.fetai
1162,N-CST,MASTER,Business Modeling and Process Innovation,EN,b.fetai
1162,N-CST,MASTER,Multimedia in Education,AL,b.fetaji
1162,N-CST,UNDERGRADUATE,System and Software Engineering,EN,b.fetaji
1162,N-TT,UNDERGRADUATE,Theory of Communication,AL,b.hoxha
1162,N-TT,UNDERGRADUATE,International Communication Systems,AL,b.hoxha
1162,N-TT,UNDERGRADUATE,Testing and assessment in German Language as a for,AL,b.ivanovska
1162,N-TT,UNDERGRADUATE,Grammar and Grammar Teaching,AL,b.ivanovska
1162,N-CST,UNDERGRADUATE,Applied Probability and Statistics,MK,b.krsteska
1162,N-LAW,UNDERGRADUATE,Criminalistics Techniques and Tactics,AL,b.maksuti
1162,N-LAW,UNDERGRADUATE,Ethics of Criminalistics,AL,b.maksuti
1162,N-LAW,MASTER,Criminalistics,AL,b.maksuti
1162,N-LAW,UNDERGRADUATE,International Private Law,MK,b.netkova
1162,N-LAW,UNDERGRADUATE,EU Law,MK,b.netkova
1162,N-LAW,UNDERGRADUATE,International Private Law,AL,b.nuhija
1162,N-LAW,MASTER,Master Thesis,AL,b.nuhija
1162,N-LAW,MASTER,International Private Law,AL,b.nuhija
1162,N-LAW,UNDERGRADUATE,EU Law,AL,b.nuhija
1162,N-BA,MASTER,Management and Leadership,EN,b.ramosaj
1162,N-BA,PHD,Global Strategic Management - Advanced level,AL,b.ramosaj
1162,N-CST,UNDERGRADUATE,Computer Graphics,AL,b.raufi
1162,N-CST,MASTER,Web Information Systems,EN,b.raufi
1162,N-CST,UNDERGRADUATE,Capstone Project,AL,b.raufi
1162,N-LAW,UNDERGRADUATE,EU Law,AL,b.reka
1162,N-PA,MASTER,International Relations,AL,b.reka
1162,N-PA,PHD,Review and Approval of the Doctoral Dissertation P,AL,b.reka
1162,LC,UNDERGRADUATE,English Language Level 3 ,EN,b.saliu
1162,LC,UNDERGRADUATE,English Language Level 4 ,EN,b.saliu
1162,LC,UNDERGRADUATE,English for specific purposes II  LAW  PA  COMM ,EN,b.saliu
1162,N-LAW,UNDERGRADUATE,Civil Procedure Law,MK,b.sekuloski
1162,N-LAW,MASTER,Police and Human Rights,AL,b.sekuloski
1162,N-LAW,UNDERGRADUATE,Human Trafficking,MK,b.sekuloski
1162,N-CST,UNDERGRADUATE,Wireless Computer Networks,AL,b.selimi
1162,N-CST,UNDERGRADUATE,Web Technologies,EN,b.selimi
1162,N-CST,MASTER,Advanced Data Structures and Algorithms,EN,b.selimi
1162,ELC,UNDERGRADUATE,Advanced Excel,AL,b.sinani
1162,ELC,UNDERGRADUATE,Advanced IT Skills,AL,b.sinani
1162,N-TT,MASTER,Foreign Language Teaching Methodology,EN,b.xhaferi
1162,N-TT,MASTER,Master Thesis,EN,b.xhaferi
1162,N-TT,PHD,Foreign Language Learning,AL,b.xhaferi
1162,N-TT,UNDERGRADUATE,English Language Teaching Methodology,EN,b.xhaferi
1162,N-LC,UNDERGRADUATE,Macedonian Language for Beginners 2,EN,b.zdravkovska
1162,N-LC,UNDERGRADUATE,Macedonian Language 2  LPC ,EN,b.zdravkovska
1162,N-LC,UNDERGRADUATE,Macedonian Language 2  BC ,EN,b.zdravkovska
1162,N-PA,UNDERGRADUATE,Contemporary Political Thought,AL,besa.kadriu
1162,N-PA,UNDERGRADUATE,Systems of Local Government,AL,besa.kadriu
1162,N-PA,UNDERGRADUATE,Theories of Organizational Behaviour,AL,besa.kadriu
1162,N-PA,UNDERGRADUATE,Comparative Political Systems,AL,besa.kadriu
1162,N-PA,UNDERGRADUATE,Comparative Public Administration,MK,besa.kadriu
1162,N-LAW,UNDERGRADUATE,Legal Writing and Reasoning,AL,blerta.arifi
1162,N-LAW,UNDERGRADUATE,Criminal Law,AL,blerta.arifi
1162,N-LAW,UNDERGRADUATE,Domestic Violence,AL,blerta.arifi
1162,N-LAW,UNDERGRADUATE,Penology,AL,blerta.arifi
